timestamp,ens210_status,temperature_c,temperature_f,humidity,ens16x_status,etvoc,eco2,aqi
1456710,1,22.48,72.46,41.25,OK,487,920,197
1457720,1,22.48,72.46,41.27,OK,489,921,197
1458730,1,22.48,72.46,41.15,OK,492,922,197
1459740,1,22.48,72.46,41.21,OK,485,919,196
1460750,1,22.4,72.31,40.95,OK,483,918,195
1461760,1,22.18,71.92,40.75,OK,489,921,197
1462770,1,22.15,71.86,39.93,OK,507,929,199
1463780,1,22.27,72.09,39.99,OK,527,938,202
1464790,1,22.27,72.09,39.69,OK,521,935,199
1465800,1,22.24,72.03,39.11,OK,489,921,191
1466810,1,22.18,71.92,38.09,OK,469,912,186
1467820,1,22.19,71.95,37.51,OK,454,905,181
1468830,1,22.19,71.95,37.45,OK,420,890,173
1469840,1,22.21,71.98,37.65,OK,420,890,173
1470850,1,22.19,71.95,37.91,OK,405,883,170
1471860,1,22.19,71.95,38.07,OK,369,867,163
1472870,1,22.18,71.92,38.13,OK,333,851,157
1473880,1,22.18,71.92,37.63,OK,284,829,149
1474890,1,22.15,71.86,37.46,OK,257,817,145
1475900,1,22.16,71.89,37.3,OK,224,802,140
1476910,1,22.08,71.75,37.18,OK,211,789,137
1477920,1,21.94,71.5,36.66,OK,198,772,131
1478930,1,21.85,71.33,36.42,OK,195,768,131
1479940,1,21.82,71.27,36.68,OK,188,759,129
1480950,1,21.57,70.82,36.23,OK,188,760,131
1481960,1,21.57,70.82,36.09,OK,185,756,129
1482970,1,21.62,70.91,36.22,OK,179,748,126
1483980,1,21.68,71.02,36.35,OK,168,734,121
1484990,1,21.66,70.99,36.42,OK,158,721,117
1486000,1,21.68,71.02,36.67,OK,146,705,112
1487010,1,21.65,70.96,36.85,OK,133,689,108
1488020,1,21.65,70.96,36.85,OK,118,669,102
1489030,1,21.65,70.96,36.87,OK,102,649,97
1490040,1,21.65,70.96,36.97,OK,92,635,94
1491050,1,21.63,70.94,36.96,OK,78,618,91
1492060,1,21.58,70.85,37.1,OK,64,597,85
1493070,1,21.57,70.82,37.0,OK,56,575,80
1494080,1,21.54,70.77,36.83,OK,56,575,80
1495090,1,21.3,70.35,36.33,OK,50,555,76
1496100,1,21.27,70.29,36.05,OK,48,548,76
1497110,1,21.27,70.29,36.0,OK,45,540,75
1498120,1,21.29,70.32,36.0,OK,41,529,72
1499130,1,21.32,70.37,36.22,OK,38,519,71
1500140,1,21.32,70.37,36.45,OK,35,508,69
1501150,1,21.3,70.35,36.61,OK,34,505,69
1502160,1,21.27,70.29,36.67,OK,29,492,66
1503170,1,21.26,70.26,36.7,OK,26,481,64
1504180,1,21.05,69.9,36.48,OK,22,470,61
1505190,1,21.1,69.98,36.28,OK,20,463,60
1506200,1,21.12,70.01,36.14,OK,17,455,58
1507210,1,21.01,69.81,36.11,OK,15,449,57
1508220,1,21.02,69.84,36.07,OK,15,448,58
1509230,1,21.01,69.81,36.13,OK,13,442,57
1510240,1,20.99,69.78,36.21,OK,12,440,58
1511250,1,20.8,69.45,36.14,OK,11,435,57
1512260,1,20.83,69.5,36.25,OK,10,431,56
1513270,1,20.8,69.45,36.31,OK,8,427,54
1514280,1,20.76,69.36,36.32,OK,7,423,53
1515290,1,20.8,69.45,36.39,OK,8,425,54
1516300,1,20.57,69.02,36.28,OK,7,422,53
1517310,1,20.55,69.0,36.34,OK,6,419,52
1518320,1,20.57,69.02,36.5,OK,6,419,52
1519330,1,20.51,68.91,36.6,OK,5,417,51
1520340,1,20.54,68.97,36.78,OK,4,415,50
1521350,1,20.21,68.38,36.88,OK,4,413,48
1522360,1,20.18,68.32,36.9,OK,3,411,47
1523370,1,20.27,68.49,36.89,OK,3,410,47
1524380,1,20.27,68.49,36.93,OK,2,408,47
1525390,1,20.29,68.52,37.07,OK,2,407,46
1526400,1,20.24,68.43,37.13,OK,1,406,46
1527410,1,20.18,68.32,37.12,OK,1,405,46
1528420,1,20.19,68.35,37.11,OK,1,405,46
1529430,1,20.16,68.29,37.18,OK,1,404,45
1530440,1,20.13,68.24,37.16,OK,0,403,45
1531450,1,20.1,68.18,37.18,OK,0,403,45
1532460,1,20.12,68.21,37.15,OK,0,403,45
1533470,1,20.08,68.15,37.21,OK,0,402,44
1534480,1,20.02,68.04,37.31,OK,0,402,45
1535490,1,20.04,68.07,37.39,OK,0,402,45
1536500,1,20.02,68.04,37.41,OK,0,401,45
1537510,1,19.99,67.98,37.4,OK,0,401,46
1538520,1,19.93,67.87,37.42,OK,0,401,46
1539530,1,19.93,67.87,37.42,OK,0,401,46
1540540,1,19.93,67.87,37.54,OK,0,401,46
1541550,1,19.96,67.93,37.56,OK,0,400,46
1542560,1,19.91,67.84,37.59,OK,0,400,46
1543570,1,19.82,67.67,37.56,OK,0,400,47
1544580,1,19.82,67.67,37.58,OK,0,402,48
1545590,1,19.74,67.53,37.58,OK,0,403,48
1546600,1,19.77,67.59,37.64,OK,0,402,47
1547610,1,19.74,67.53,37.69,OK,1,404,48
1548620,1,19.74,67.53,37.73,OK,1,405,48
1549630,1,19.74,67.53,37.75,OK,3,411,49
1550640,1,19.66,67.39,37.75,OK,6,420,52
1551650,1,19.6,67.28,37.73,OK,8,425,52
1552660,1,19.48,67.06,37.77,OK,10,431,53
1553670,1,19.38,66.89,37.88,OK,10,433,53
1554680,1,19.35,66.83,38.05,OK,11,434,53
1555690,1,19.41,66.94,38.28,OK,12,437,53
1556700,1,19.49,67.08,38.35,OK,12,439,53
1557710,1,19.44,67.0,38.36,OK,13,441,54
1558720,1,19.38,66.89,38.43,OK,12,440,53
1559730,1,19.27,66.69,38.3,OK,11,436,52
1560740,1,19.19,66.55,38.37,OK,12,438,52
1561750,1,19.21,66.58,38.45,OK,13,441,53
1562760,1,19.23,66.61,38.49,OK,13,443,53
1563770,1,19.26,66.66,38.38,OK,15,447,54
1564780,1,19.13,66.44,38.34,OK,13,441,52
1565790,1,19.19,66.55,38.35,OK,12,439,51
1566800,1,19.23,66.61,38.28,OK,12,439,51
1567810,1,19.23,66.61,38.27,OK,11,434,49
1568820,1,19.24,66.63,38.28,OK,9,430,49
1569830,1,19.16,66.49,38.25,OK,8,426,47
1570840,1,19.12,66.41,38.3,OK,7,423,46
1571850,1,19.15,66.46,38.29,OK,6,420,45
1572860,1,19.13,66.44,38.36,OK,5,417,43
1573870,1,19.07,66.32,38.46,OK,4,415,42
1574880,1,19.04,66.27,38.52,OK,4,413,42
1575890,1,18.99,66.18,38.65,OK,3,411,42
1576900,1,18.98,66.16,38.8,OK,3,410,43
1577910,1,19.02,66.24,38.97,OK,2,409,42
1578920,1,19.02,66.24,38.87,OK,2,407,40
1579930,1,19.04,66.27,38.79,OK,1,406,40
1580940,1,19.02,66.24,38.67,OK,1,406,39
1581950,1,19.04,66.27,38.59,OK,1,405,37
1582960,1,19.02,66.24,38.57,OK,1,404,35
1583970,1,19.01,66.21,38.43,OK,1,404,35
1584980,1,19.01,66.21,38.49,OK,0,403,35
1585990,1,19.02,66.24,38.43,OK,0,403,34
1587000,1,18.99,66.18,38.47,OK,0,402,32
1588010,1,18.99,66.18,38.47,OK,0,402,31
1589020,1,18.99,66.18,38.53,OK,0,402,30
1590030,1,18.96,66.13,38.58,OK,0,401,29
1591040,1,18.94,66.1,38.64,OK,0,401,29
1592050,1,18.94,66.1,38.78,OK,0,401,29
1593060,1,18.93,66.07,38.92,OK,0,401,29
1594070,1,18.83,65.9,39.03,OK,0,401,29
1595080,1,18.71,65.68,39.23,OK,0,401,28
1596090,1,18.69,65.65,39.33,OK,0,400,28
1597100,1,18.73,65.71,39.47,OK,0,400,28
1598110,1,18.71,65.68,39.53,OK,0,400,28
1599120,1,18.4,65.11,39.65,OK,0,400,28
1600130,1,18.35,65.03,39.7,OK,0,400,28
1601140,1,18.38,65.09,39.8,OK,0,400,28
1602150,1,18.3,64.95,39.94,OK,0,400,27
1603160,1,18.32,64.97,39.97,OK,0,400,27
1604170,1,18.24,64.83,40.02,OK,0,400,27
1605180,1,18.3,64.95,40.14,OK,0,400,27
1606190,1,18.33,65.0,40.07,OK,0,400,27
1607200,1,18.23,64.81,40.08,OK,0,400,26
1608210,1,18.1,64.58,40.19,OK,0,400,25
1609220,1,18.01,64.41,40.39,OK,0,400,25
1610230,1,18.04,64.47,40.49,OK,0,400,24
1611240,1,18.05,64.5,40.53,OK,0,400,24
1612250,1,18.02,64.44,40.55,OK,0,400,24
1613260,1,18.01,64.41,40.55,OK,0,400,23
1614270,1,18.02,64.44,40.59,OK,0,400,23
1615280,1,18.04,64.47,40.53,OK,0,400,23
1616290,1,17.99,64.38,40.6,OK,0,400,23
1617300,1,17.63,63.74,40.66,OK,0,400,22
1619320,1,17.66,63.79,41.18,OK,0,400,23
1620330,1,17.55,63.6,41.3,OK,0,400,22
